cdeSchoolCode,schoolName,rate,pwrType
1522,Chatfield High School,0.003,drop
1730,Coal Creek Canyon K-8 Elementary School,0,drop
1864,Columbine High School,0.002,drop
1880,Compass Montessori - Golden Charter School,0,drop
1886,Conifer Senior High School,0.002,drop
1976,Creighton Middle School,0.001,drop
2093,Dakota Ridge Senior High School,0.005,drop
2120,D'Evelyn Junior/Senior High School,0,drop
2130,Deer Creek Middle School,0,drop
2189,Doral Academy of Colorado,0,drop
2288,Drake Junior High School,0,drop
2300,Dunstan Middle School,0,drop
2799,Excel Academy Charter School,0,drop
2820,Everitt Middle School,0.002,drop
2832,Evergreen Middle School,0,drop
2836,Evergreen High School,0,drop
2963,Falcon Bluffs Middle School,0,drop
3088,Foster K-8,0,drop
3201,Free Horizon Montessori,0,drop
3502,Golden High School,0.009,drop
3628,Green Mountain High School,0.004,drop
4404,Jefferson Academy,0,drop
4408,Jeffco Virtual Academy,0.046,drop
4410,Jefferson Academy High School,0,drop
4422,Jefferson Junior/Senior High School,0.018,drop
4548,Ken Caryl Middle School,0,drop
4798,Connections Learning Center on the Earle Johnson Campus,0.016,drop
4942,Lakewood High School,0.007,drop
5145,Lincoln Charter Academy,0,drop
5415,Rocky Mountain Deaf School,0.053,drop
5454,Mandalay Middle School,0.002,drop
5472,Manning Options School,0,drop
5623,Longview High School,0.066,drop
5892,Miller Special Education,0,drop
5994,Montessori Peaks Charter Academy,0,drop
6090,Moore Middle School,0.002,drop
6139,Mountain Phoenix Community School,0.009,drop
6237,New America School,0.331,drop
6330,North Arvada Middle School,0,drop
6470,Oberon Junior High School,0,drop
6541,Jefferson County Open Secondary,0.012,drop
7114,Pomona High School,0.016,drop
7239,Ralston Valley Senior High School,0.002,drop
7462,Rocky Mountain Academy of Evergreen,0,drop
7701,Collegiate Academy of Colorado,0.004,drop
8036,Sobesky Academy,0.033,drop
8209,Standley Lake High School,0.008,drop
8381,Summit Ridge Middle School,0,drop
8793,Two Roads Charter School,0,drop
8856,Three Creeks K-8,0,drop
9234,Warren Tech Central,0,drop
9245,Warren Tech North,0,drop
9299,Wayne Carle Middle School,0,drop
9427,Woodrow Wilson Charter Academy,0,drop
9428,West Jefferson Middle School,0,drop
9510,Wheat Ridge High School,0.005,drop
9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),0.015,drop
